합체,형태소,품사,분류,카운트,절대빈도,
几张_m,几张,m,BILIBILI2,3,2.00027E-05,几张 几张 几张 
几成_m,几成,m,BILIBILI2,1,6.66756E-06,几成 
几把_m,几把,m,BILIBILI2,1,6.66756E-06,几把 
几斤几两_i,几斤几两,i,BILIBILI2,1,6.66756E-06,几斤几两 
几本书_n,几本书,n,BILIBILI2,1,6.66756E-06,几本书 
几条_m,几条,m,BILIBILI2,1,6.66756E-06,几条 
几枪_m,几枪,m,BILIBILI2,1,6.66756E-06,几枪 
几棵_m,几棵,m,BILIBILI2,1,6.66756E-06,几棵 
几次_m,几次,m,BILIBILI2,2,1.33351E-05,几次 几次 
几点_m,几点,m,BILIBILI2,1,6.66756E-06,几点 
几百万_m,几百万,m,BILIBILI2,2,1.33351E-05,几百万 几百万 
几百几百_m,几百几百,m,BILIBILI2,1,6.66756E-06,几百几百 
几百吨_m,几百吨,m,BILIBILI2,2,1.33351E-05,几百吨 几百吨 
几米_m,几米,m,BILIBILI2,2,1.33351E-05,几米 几米 
几辈子_m,几辈子,m,BILIBILI2,1,6.66756E-06,几辈子 
几遍_m,几遍,m,BILIBILI2,1,6.66756E-06,几遍 
几道_m,几道,m,BILIBILI2,1,6.66756E-06,几道 
几颗_m,几颗,m,BILIBILI2,2,1.33351E-05,几颗 几颗 
凡事_n,凡事,n,BILIBILI2,2,1.33351E-05,凡事 凡事 
凡是_d,凡是,d,BILIBILI2,6,4.00053E-05,凡是 凡是 凡是 凡是 凡是 凡是 
凭_p,凭,p,BILIBILI2,27,0.000180024,凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 凭 
凯文_nz,凯文,nz,BILIBILI2,1,6.66756E-06,凯文 
凶_a,凶,a,BILIBILI2,1,6.66756E-06,凶 
出_v,出,v,BILIBILI2,89,0.000593412,出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 出 
出了名_i,出了名,i,BILIBILI2,1,6.66756E-06,出了名 
出事_v,出事,v,BILIBILI2,21,0.000140019,出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 出事 
出于_v,出于,v,BILIBILI2,7,4.66729E-05,出于 出于 出于 出于 出于 出于 出于 
出任_v,出任,v,BILIBILI2,2,1.33351E-05,出任 出任 
出克_v,出克,v,BILIBILI2,1,6.66756E-06,出克 
出兵_v,出兵,v,BILIBILI2,6,4.00053E-05,出兵 出兵 出兵 出兵 出兵 出兵 
出到_v,出到,v,BILIBILI2,1,6.66756E-06,出到 
出力_n,出力,n,BILIBILI2,1,6.66756E-06,出力 
出动_v,出动,v,BILIBILI2,4,2.66702E-05,出动 出动 出动 出动 
出卖_v,出卖,v,BILIBILI2,4,2.66702E-05,出卖 出卖 出卖 出卖 
出去_v,出去,v,BILIBILI2,5,3.33378E-05,出去 出去 出去 出去 出去 
出发_v,出发,v,BILIBILI2,2,1.33351E-05,出发 出发 
出发点_n,出发点,n,BILIBILI2,1,6.66756E-06,出发点 
出口_vn,出口,vn,BILIBILI2,2,1.33351E-05,出口 出口 
出台_v,出台,v,BILIBILI2,4,2.66702E-05,出台 出台 出台 出台 
出名_v,出名,v,BILIBILI2,2,1.33351E-05,出名 出名 
出回_v,出回,v,BILIBILI2,1,6.66756E-06,出回 
出国境_l,出国境,l,BILIBILI2,1,6.66756E-06,出国境 
出场_n,出场,n,BILIBILI2,4,2.66702E-05,出场 出场 出场 出场 
出声_v,出声,v,BILIBILI2,1,6.66756E-06,出声 
出处_v,出处,v,BILIBILI2,1,6.66756E-06,出处 
出征_v,出征,v,BILIBILI2,4,2.66702E-05,出征 出征 出征 出征 
出息_v,出息,v,BILIBILI2,1,6.66756E-06,出息 
出手_v,出手,v,BILIBILI2,2,1.33351E-05,出手 出手 
出来_v,出来,v,BILIBILI2,105,0.000700093,出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 出来 
出点_n,出点,n,BILIBILI2,1,6.66756E-06,出点 
出版_v,出版,v,BILIBILI2,2,1.33351E-05,出版 出版 
出现_v,出现,v,BILIBILI2,24,0.000160021,出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 出现 
出生_v,出生,v,BILIBILI2,2,1.33351E-05,出生 出生 
出窍_v,出窍,v,BILIBILI2,12,8.00107E-05,出窍 出窍 出窍 出窍 出窍 出窍 出窍 出窍 出窍 出窍 出窍 出窍 
出言不逊_i,出言不逊,i,BILIBILI2,1,6.66756E-06,出言不逊 
出轨_v,出轨,v,BILIBILI2,1,6.66756E-06,出轨 
出过_v,出过,v,BILIBILI2,6,4.00053E-05,出过 出过 出过 出过 出过 出过 
出道_v,出道,v,BILIBILI2,8,5.33404E-05,出道 出道 出道 出道 出道 出道 出道 出道 
出镜_n,出镜,n,BILIBILI2,1,6.66756E-06,出镜 
出门_v,出门,v,BILIBILI2,2,1.33351E-05,出门 出门 
出面_n,出面,n,BILIBILI2,1,6.66756E-06,出面 
击_v,击,v,BILIBILI2,1,6.66756E-06,击 
击垮_v,击垮,v,BILIBILI2,1,6.66756E-06,击垮 
击毙_v,击毙,v,BILIBILI2,2,1.33351E-05,击毙 击毙 
击败_v,击败,v,BILIBILI2,15,0.000100013,击败 击败 击败 击败 击败 击败 击败 击败 击败 击败 击败 击败 击败 击败 击败 
刀_n,刀,n,BILIBILI2,7,4.66729E-05,刀 刀 刀 刀 刀 刀 刀 
刀尖_n,刀尖,n,BILIBILI2,1,6.66756E-06,刀尖 
刀枪_n,刀枪,n,BILIBILI2,1,6.66756E-06,刀枪 
刀架_n,刀架,n,BILIBILI2,16,0.000106681,刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 刀架 
刁民_nr,刁民,nr,BILIBILI2,1,6.66756E-06,刁民 
刁钻_nr,刁钻,nr,BILIBILI2,1,6.66756E-06,刁钻 
刃_ng,刃,ng,BILIBILI2,1,6.66756E-06,刃 
分_q,分,q,BILIBILI2,2,1.33351E-05,分 分 
分_v,分,v,BILIBILI2,6,4.00053E-05,分 分 分 分 分 分 
分不清_l,分不清,l,BILIBILI2,3,2.00027E-05,分不清 分不清 分不清 
分享_v,分享,v,BILIBILI2,1,6.66756E-06,分享 
分别_d,分别,d,BILIBILI2,1,6.66756E-06,分别 
分到_v,分到,v,BILIBILI2,1,6.66756E-06,分到 
分割_v,分割,v,BILIBILI2,2,1.33351E-05,分割 分割 
分子_n,分子,n,BILIBILI2,2,1.33351E-05,分子 分子 
分家_n,分家,n,BILIBILI2,1,6.66756E-06,分家 
分数_n,分数,n,BILIBILI2,1,6.66756E-06,分数 
分析_vn,分析,vn,BILIBILI2,6,4.00053E-05,分析 分析 分析 分析 分析 分析 
分清_v,分清,v,BILIBILI2,4,2.66702E-05,分清 分清 分清 分清 
分界线_n,分界线,n,BILIBILI2,2,1.33351E-05,分界线 分界线 
分裂_v,分裂,v,BILIBILI2,15,0.000100013,分裂 分裂 分裂 分裂 分裂 分裂 分裂 分裂 分裂 分裂 分裂 分裂 分裂 分裂 分裂 
分辨是非_i,分辨是非,i,BILIBILI2,1,6.66756E-06,分辨是非 
分钟_q,分钟,q,BILIBILI2,1,6.66756E-06,分钟 
切入点_n,切入点,n,BILIBILI2,1,6.66756E-06,切入点 
切实_ad,切实,ad,BILIBILI2,1,6.66756E-06,切实 
切断_v,切断,v,BILIBILI2,2,1.33351E-05,切断 切断 
切记_v,切记,v,BILIBILI2,1,6.66756E-06,切记 
刊物_n,刊物,n,BILIBILI2,1,6.66756E-06,刊物 
刊登_v,刊登,v,BILIBILI2,1,6.66756E-06,刊登 
刑法_n,刑法,n,BILIBILI2,1,6.66756E-06,刑法 
刑责_n,刑责,n,BILIBILI2,1,6.66756E-06,刑责 
划分_v,划分,v,BILIBILI2,3,2.00027E-05,划分 划分 划分 
划归_v,划归,v,BILIBILI2,1,6.66756E-06,划归 
划水_v,划水,v,BILIBILI2,2,1.33351E-05,划水 划水 
列_v,列,v,BILIBILI2,1,6.66756E-06,列 
列强_v,列强,v,BILIBILI2,1,6.66756E-06,列强 
列表_n,列表,n,BILIBILI2,4,2.66702E-05,列表 列表 列表 列表 
列车_n,列车,n,BILIBILI2,2,1.33351E-05,列车 列车 
刘_nr,刘,nr,BILIBILI2,1,6.66756E-06,刘 
刘学义_nr,刘学义,nr,BILIBILI2,1,6.66756E-06,刘学义 
刘德华_nr,刘德华,nr,BILIBILI2,2,1.33351E-05,刘德华 刘德华 
则_d,则,d,BILIBILI2,1,6.66756E-06,则 
刚_d,刚,d,BILIBILI2,31,0.000206694,刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 刚 
刚上_d,刚上,d,BILIBILI2,1,6.66756E-06,刚上 
刚上_t,刚上,t,BILIBILI2,1,6.66756E-06,刚上 
刚出道_i,刚出道,i,BILIBILI2,1,6.66756E-06,刚出道 
刚刚_d,刚刚,d,BILIBILI2,14,9.33458E-05,刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 刚刚 
刚刚开始_nr,刚刚开始,nr,BILIBILI2,1,6.66756E-06,刚刚开始 
刚去_t,刚去,t,BILIBILI2,2,1.33351E-05,刚去 刚去 
刚回来_i,刚回来,i,BILIBILI2,1,6.66756E-06,刚回来 
刚在_t,刚在,t,BILIBILI2,1,6.66756E-06,刚在 
刚够_a,刚够,a,BILIBILI2,2,1.33351E-05,刚够 刚够 
刚好_d,刚好,d,BILIBILI2,1,6.66756E-06,刚好 
刚才_t,刚才,t,BILIBILI2,3,2.00027E-05,刚才 刚才 刚才 
刚点_d,刚点,d,BILIBILI2,1,6.66756E-06,刚点 
刚粉_n,刚粉,n,BILIBILI2,1,6.66756E-06,刚粉 
创作_vn,创作,vn,BILIBILI2,3,2.00027E-05,创作 创作 创作 
创刊_n,创刊,n,BILIBILI2,1,6.66756E-06,创刊 
创办_v,创办,v,BILIBILI2,1,6.66756E-06,创办 
创始_v,创始,v,BILIBILI2,1,6.66756E-06,创始 
创始人_n,创始人,n,BILIBILI2,1,6.66756E-06,创始人 
创立_v,创立,v,BILIBILI2,2,1.33351E-05,创立 创立 
创造_v,创造,v,BILIBILI2,3,2.00027E-05,创造 创造 创造 
创造者_n,创造者,n,BILIBILI2,1,6.66756E-06,创造者 
初三_t,初三,t,BILIBILI2,3,2.00027E-05,初三 初三 初三 
初中_f,初中,f,BILIBILI2,15,0.000100013,初中 初中 初中 初中 初中 初中 初中 初中 初中 初中 初中 初中 初中 初中 初中 
初创_n,初创,n,BILIBILI2,1,6.66756E-06,初创 
初心_n,初心,n,BILIBILI2,1,6.66756E-06,初心 
初恋_v,初恋,v,BILIBILI2,1,6.66756E-06,初恋 
初期_t,初期,t,BILIBILI2,1,6.66756E-06,初期 
初雪_n,初雪,n,BILIBILI2,1,6.66756E-06,初雪 
初音_n,初音,n,BILIBILI2,3,2.00027E-05,初音 初音 初音 
删_v,删,v,BILIBILI2,40,0.000266702,删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 删 
删光_v,删光,v,BILIBILI2,1,6.66756E-06,删光 
删到_v,删到,v,BILIBILI2,1,6.66756E-06,删到 
删嗷_v,删嗷,v,BILIBILI2,1,6.66756E-06,删嗷 
删图_v,删图,v,BILIBILI2,1,6.66756E-06,删图 
删完_v,删完,v,BILIBILI2,2,1.33351E-05,删完 删完 
删得_v,删得,v,BILIBILI2,1,6.66756E-06,删得 
删掉_v,删掉,v,BILIBILI2,4,2.66702E-05,删掉 删掉 删掉 删掉 
删歌_v,删歌,v,BILIBILI2,1,6.66756E-06,删歌 
删评_v,删评,v,BILIBILI2,23,0.000153354,删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 删评 
删除_v,删除,v,BILIBILI2,8,5.33404E-05,删除 删除 删除 删除 删除 删除 删除 删除 
判以_v,判以,v,BILIBILI2,1,6.66756E-06,判以 
判断_v,判断,v,BILIBILI2,3,2.00027E-05,判断 判断 判断 
判断能力_n,判断能力,n,BILIBILI2,2,1.33351E-05,判断能力 判断能力 
利亚_ns,利亚,ns,BILIBILI2,1,6.66756E-06,利亚 
利己_n,利己,n,BILIBILI2,1,6.66756E-06,利己 
利用_n,利用,n,BILIBILI2,6,4.00053E-05,利用 利用 利用 利用 利用 利用 
利益_n,利益,n,BILIBILI2,31,0.000206694,利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 利益 
利落_n,利落,n,BILIBILI2,2,1.33351E-05,利落 利落 
别_d,别,d,BILIBILI2,96,0.000640085,别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 
别_r,别,r,BILIBILI2,42,0.000280037,别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 别 
别云_nr,别云,nr,BILIBILI2,1,6.66756E-06,别云 
别人_r,别人,r,BILIBILI2,84,0.000560075,别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 别人 
别信_nr,别信,nr,BILIBILI2,1,6.66756E-06,别信 
别入_v,别入,v,BILIBILI2,1,6.66756E-06,别入 
别动_v,别动,v,BILIBILI2,1,6.66756E-06,别动 
别国_r,别国,r,BILIBILI2,9,6.0008E-05,别国 别国 别国 别国 别国 别国 别国 别国 别国 
别太_nr,别太,nr,BILIBILI2,2,1.33351E-05,别太 别太 
别家_r,别家,r,BILIBILI2,5,3.33378E-05,别家 别家 别家 别家 别家 
别忘了_l,别忘了,l,BILIBILI2,8,5.33404E-05,别忘了 别忘了 别忘了 别忘了 别忘了 别忘了 别忘了 别忘了 
别怪_v,别怪,v,BILIBILI2,4,2.66702E-05,别怪 别怪 别怪 别怪 
别提_nr,别提,nr,BILIBILI2,1,6.66756E-06,别提 
别无选择_l,别无选择,l,BILIBILI2,1,6.66756E-06,别无选择 
别有用心_l,别有用心,l,BILIBILI2,1,6.66756E-06,别有用心 
别气_v,别气,v,BILIBILI2,1,6.66756E-06,别气 
别理_n,别理,n,BILIBILI2,1,6.66756E-06,别理 
别的_r,别的,r,BILIBILI2,23,0.000153354,别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 别的 
别着急_i,别着急,i,BILIBILI2,1,6.66756E-06,别着急 
别睡了_n,别睡了,n,BILIBILI2,1,6.66756E-06,别睡了 
别碰_v,别碰,v,BILIBILI2,6,4.00053E-05,别碰 别碰 别碰 别碰 别碰 别碰 
别粉_n,别粉,n,BILIBILI2,1,6.66756E-06,别粉 
别粉_v,别粉,v,BILIBILI2,3,2.00027E-05,别粉 别粉 别粉 
别装_n,别装,n,BILIBILI2,1,6.66756E-06,别装 
别说_c,别说,c,BILIBILI2,19,0.000126684,别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 别说 
别跟我_nr,别跟我,nr,BILIBILI2,1,6.66756E-06,别跟我 
别限韩_nr,别限韩,nr,BILIBILI2,1,6.66756E-06,别限韩 
别顺_nr,别顺,nr,BILIBILI2,1,6.66756E-06,别顺 
刮_v,刮,v,BILIBILI2,1,6.66756E-06,刮 
刮来_v,刮来,v,BILIBILI2,1,6.66756E-06,刮来 
刮目相看_i,刮目相看,i,BILIBILI2,1,6.66756E-06,刮目相看 
到_v,到,v,BILIBILI2,247,0.001646886,到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 到 
到位_v,到位,v,BILIBILI2,2,1.33351E-05,到位 到位 
到处_d,到处,d,BILIBILI2,8,5.33404E-05,到处 到处 到处 到处 到处 到处 到处 到处 
到头来_l,到头来,l,BILIBILI2,1,6.66756E-06,到头来 
到底_d,到底,d,BILIBILI2,45,0.00030004,到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 到底 
到手_d,到手,d,BILIBILI2,1,6.66756E-06,到手 
到时候_l,到时候,l,BILIBILI2,7,4.66729E-05,到时候 到时候 到时候 到时候 到时候 到时候 到时候 
到来_d,到来,d,BILIBILI2,18,0.000120016,到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 到来 
到此为止_l,到此为止,l,BILIBILI2,3,2.00027E-05,到此为止 到此为止 到此为止 
到达_v,到达,v,BILIBILI2,1,6.66756E-06,到达 
制作_vn,制作,vn,BILIBILI2,6,4.00053E-05,制作 制作 制作 制作 制作 制作 
制定_v,制定,v,BILIBILI2,1,6.66756E-06,制定 
制度_n,制度,n,BILIBILI2,2,1.33351E-05,制度 制度 
制约_n,制约,n,BILIBILI2,1,6.66756E-06,制约 
制胜_v,制胜,v,BILIBILI2,3,2.00027E-05,制胜 制胜 制胜 
制裁_n,制裁,n,BILIBILI2,3,2.00027E-05,制裁 制裁 制裁 
制造_v,制造,v,BILIBILI2,6,4.00053E-05,制造 制造 制造 制造 制造 制造 
制造矛盾_l,制造矛盾,l,BILIBILI2,1,6.66756E-06,制造矛盾 
制霸_v,制霸,v,BILIBILI2,1,6.66756E-06,制霸 
刷_v,刷,v,BILIBILI2,8,5.33404E-05,刷 刷 刷 刷 刷 刷 刷 刷 
刷_zg,刷,zg,BILIBILI2,7,4.66729E-05,刷 刷 刷 刷 刷 刷 刷 
刷到_v,刷到,v,BILIBILI2,5,3.33378E-05,刷到 刷到 刷到 刷到 刷到 
刷屏_n,刷屏,n,BILIBILI2,1,6.66756E-06,刷屏 
刷新_v,刷新,v,BILIBILI2,10,6.66756E-05,刷新 刷新 刷新 刷新 刷新 刷新 刷新 刷新 刷新 刷新 
刷榜_v,刷榜,v,BILIBILI2,3,2.00027E-05,刷榜 刷榜 刷榜 
刷绿漆_z,刷绿漆,z,BILIBILI2,1,6.66756E-06,刷绿漆 
刺_v,刺,v,BILIBILI2,1,6.66756E-06,刺 
刺刀_n,刺刀,n,BILIBILI2,1,6.66756E-06,刺刀 
刺激_v,刺激,v,BILIBILI2,1,6.66756E-06,刺激 
刺耳_n,刺耳,n,BILIBILI2,2,1.33351E-05,刺耳 刺耳 
刺螈_n,刺螈,n,BILIBILI2,1,6.66756E-06,刺螈 
刺透_v,刺透,v,BILIBILI2,15,0.000100013,刺透 刺透 刺透 刺透 刺透 刺透 刺透 刺透 刺透 刺透 刺透 刺透 刺透 刺透 刺透 
刻不容缓_i,刻不容缓,i,BILIBILI2,1,6.66756E-06,刻不容缓 
刻意_v,刻意,v,BILIBILI2,4,2.66702E-05,刻意 刻意 刻意 刻意 
刽子手_n,刽子手,n,BILIBILI2,4,2.66702E-05,刽子手 刽子手 刽子手 刽子手 
削_v,削,v,BILIBILI2,2,1.33351E-05,削 削 
削低_v,削低,v,BILIBILI2,3,2.00027E-05,削低 削低 削低 
削平_v,削平,v,BILIBILI2,1,6.66756E-06,削平 
削弱_v,削弱,v,BILIBILI2,1,6.66756E-06,削弱 
前_f,前,f,BILIBILI2,76,0.000506734,前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 前 
前_n,前,n,BILIBILI2,1,6.66756E-06,前 
前不久_i,前不久,i,BILIBILI2,1,6.66756E-06,前不久 
前两天_i,前两天,i,BILIBILI2,5,3.33378E-05,前两天 前两天 前两天 前两天 前两天 
前些天_t,前些天,t,BILIBILI2,2,1.33351E-05,前些天 前些天 
前些年_t,前些年,t,BILIBILI2,1,6.66756E-06,前些年 
前人_n,前人,n,BILIBILI2,3,2.00027E-05,前人 前人 前人 
前列_v,前列,v,BILIBILI2,1,6.66756E-06,前列 
前前后后_i,前前后后,i,BILIBILI2,1,6.66756E-06,前前后后 
前因后果_i,前因后果,i,BILIBILI2,1,6.66756E-06,前因后果 
前天_t,前天,t,BILIBILI2,1,6.66756E-06,前天 
前头_f,前头,f,BILIBILI2,1,6.66756E-06,前头 
前年_t,前年,t,BILIBILI2,1,6.66756E-06,前年 
前得_v,前得,v,BILIBILI2,1,6.66756E-06,前得 
前提_n,前提,n,BILIBILI2,6,4.00053E-05,前提 前提 前提 前提 前提 前提 
前方_f,前方,f,BILIBILI2,3,2.00027E-05,前方 前方 前方 
前景_n,前景,n,BILIBILI2,1,6.66756E-06,前景 
前来_t,前来,t,BILIBILI2,1,6.66756E-06,前来 
前段时间_n,前段时间,n,BILIBILI2,5,3.33378E-05,前段时间 前段时间 前段时间 前段时间 前段时间 
前线_n,前线,n,BILIBILI2,3,2.00027E-05,前线 前线 前线 
前者_n,前者,n,BILIBILI2,1,6.66756E-06,前者 
前行_v,前行,v,BILIBILI2,3,2.00027E-05,前行 前行 前行 
前赴后继_i,前赴后继,i,BILIBILI2,15,0.000100013,前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 前赴后继 
前辈_n,前辈,n,BILIBILI2,6,4.00053E-05,前辈 前辈 前辈 前辈 前辈 前辈 
前辱_n,前辱,n,BILIBILI2,1,6.66756E-06,前辱 
前进_v,前进,v,BILIBILI2,5,3.33378E-05,前进 前进 前进 前进 前进 
前面_f,前面,f,BILIBILI2,9,6.0008E-05,前面 前面 前面 前面 前面 前面 前面 前面 前面 
剔除_v,剔除,v,BILIBILI2,1,6.66756E-06,剔除 
剥夺_v,剥夺,v,BILIBILI2,1,6.66756E-06,剥夺 
剧_n,剧,n,BILIBILI2,1,6.66756E-06,剧 
剩_v,剩,v,BILIBILI2,4,2.66702E-05,剩 剩 剩 剩 
剩下_v,剩下,v,BILIBILI2,2,1.33351E-05,剩下 剩下 
剪_v,剪,v,BILIBILI2,2,1.33351E-05,剪 剪 
剪辑_n,剪辑,n,BILIBILI2,2,1.33351E-05,剪辑 剪辑 
副_b,副,b,BILIBILI2,2,1.33351E-05,副 副 
副总干事_n,副总干事,n,BILIBILI2,1,6.66756E-06,副总干事 
割_v,割,v,BILIBILI2,5,3.33378E-05,割 割 割 割 割 
割割_v,割割,v,BILIBILI2,27,0.000180024,割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 割割 
割完_v,割完,v,BILIBILI2,1,6.66756E-06,割完 
割舍_nrt,割舍,nrt,BILIBILI2,1,6.66756E-06,割舍 
劇毒_n,劇毒,n,BILIBILI2,1,6.66756E-06,劇毒 
力_n,力,n,BILIBILI2,5,3.33378E-05,力 力 力 力 力 
力争_nz,力争,nz,BILIBILI2,1,6.66756E-06,力争 
力回馈_n,力回馈,n,BILIBILI2,1,6.66756E-06,力回馈 
力度_n,力度,n,BILIBILI2,8,5.33404E-05,力度 力度 力度 力度 力度 力度 力度 力度 
力所能及_i,力所能及,i,BILIBILI2,1,6.66756E-06,力所能及 
力量_n,力量,n,BILIBILI2,11,7.33431E-05,力量 力量 力量 力量 力量 力量 力量 力量 力量 力量 力量 
劝_v,劝,v,BILIBILI2,7,4.66729E-05,劝 劝 劝 劝 劝 劝 劝 
劝导_v,劝导,v,BILIBILI2,1,6.66756E-06,劝导 
劝说_v,劝说,v,BILIBILI2,1,6.66756E-06,劝说 
办_v,办,v,BILIBILI2,2,1.33351E-05,办 办 
办公桌_n,办公桌,n,BILIBILI2,3,2.00027E-05,办公桌 办公桌 办公桌 
办后事_n,办后事,n,BILIBILI2,1,6.66756E-06,办后事 
办法_n,办法,n,BILIBILI2,21,0.000140019,办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 办法 
办理_n,办理,n,BILIBILI2,1,6.66756E-06,办理 
功劳_n,功劳,n,BILIBILI2,1,6.66756E-06,功劳 
功夫_n,功夫,n,BILIBILI2,1,6.66756E-06,功夫 
功臣_n,功臣,n,BILIBILI2,2,1.33351E-05,功臣 功臣 
功课_n,功课,n,BILIBILI2,1,6.66756E-06,功课 
加_v,加,v,BILIBILI2,8,5.33404E-05,加 加 加 加 加 加 加 加 
加上_v,加上,v,BILIBILI2,7,4.66729E-05,加上 加上 加上 加上 加上 加上 加上 
加之_c,加之,c,BILIBILI2,1,6.66756E-06,加之 
加倍_m,加倍,m,BILIBILI2,2,1.33351E-05,加倍 加倍 
加入_v,加入,v,BILIBILI2,3,2.00027E-05,加入 加入 加入 
加加_v,加加,v,BILIBILI2,1,6.66756E-06,加加 
